CrabID,Site,Temp,Volume,Minutes,Final oxygen concentration,Metabolic rate,Sex,NumberLimbMissing,NumberLimbRegen,TotalWetMass,PerCrabDryMass
SMR67,CT,21.1,60,64,0.2039,0.280650794,Female,0,0,2.06448,0.87575
SMR233,CT,21.65,50,81,0.2039,0.187196136,Female,0,0,1.20059,0.50898
SMR167,CT,21.65,70,87,0.20374,0.24840475,Female,0,0,2.19294,0.91924
SMR90,CT,21.3,60,84,0.2037,0.220829231,Female,0,0,2.31622,0.89398
SMR133,CT,21.1,60,69,0.2034,0.292383724,Female,1,0,1.82158,0.39248
SMR189,CT,21.65,60,86,0.2034,0.226461764,Female,0,0,2.16093,0.92124
SMR173,CT,21.3,60,85,0.203,0.253668613,Female,0,0,1.60482,0.3188
SMR160,CT,21.45,45,88,0.203,0.182958174,Female,0,0,0.94008,0.29241
SMR155,CT,21.3,60,118,0.2027,0.186670998,Female,1,1,2.02423,0.72493
SMR129,CT,21.45,55,91,0.2026,0.227015944,Female,2,0,1.66021,0.53997
SMR199,CT,21.63333333,50,84,0.2026,0.225701811,Female,4,0,1.29408,0.36494
SMR198,CT,21.63333333,60,83,0.2024,0.139439149,Female,2,0,2.14793,0.316165
SMR140,CT,21.1,50,70,0.2023,0.280234093,Female,0,0,1.86372,0.5199
SMR115,CT,21.3,40,83,0.2023,0.186703785,Female,0,0,1.29495,0.52843
SMR134,CT,21.1,70,69,0.202,0.398110929,Female,3,3,3.6884,1.50459
SMR159,CT,21.65,60,82,0.2019,0.305765837,Female,0,0,2.26325,0.43165
SMR175,CT,21.65,60,81,0.2019,0.300545024,Female,2,0,2.80429,0.9178
SMR131,CT,21.45,50,89,0.2009,0.258657584,Female,2,0,1.93313,0.75496
SMR153,CT,21.2,60,85,0.2008,0.330394059,Female,6,0,3.17666,0.86356
SMR127,CT,21.3,50,92,0.2005,0.138316162,Female,0,0,1.66957,0
SMR273,CT,21.2,80,88,0.2004,0.457659957,Female,1,0,2.80918,0.54685
